Accession	Protein_name	Database
109485845	RCG43432	NCBI
109485920	PREDICTED: similar to dystonin isoform b	NCBI
109485930	PREDICTED: similar to Rho guanine nucleotide exchange factor 4 isoform a	NCBI
109485963	PREDICTED: similar to Y59A8B.19	NCBI
109486503	Phospholipase C-like 2	NCBI
109487139	MCG140270	NCBI
109488819	PREDICTED: similar to essential meiotic endonuclease 1 homolog 1	NCBI
109490823	Obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	NCBI
109490961	Nuclear receptor co-repressor 1, isoform CRA_a	NCBI
109491006	RCG34055	NCBI
109492345	PREDICTED: similar to chromosome 17 open reading frame 27	NCBI
109492748	Voltage-dependent anion channel 3	NCBI
109493469	Ribosomal protein L27a	NCBI
109494589	ATPase type 13A5	NCBI
109494689	PREDICTED: similar to YEATS domain containing 2	NCBI
109494796	Protein kinase, DNA activated, catalytic polypeptide	NCBI
109498165	Microsomal glutathione S-transferase 3	NCBI
109498922	Membrane protein CH1	NCBI
109499686	Replication factor C 1	NCBI
109499753	PREDICTED: similar to Discs large homolog 5	NCBI
109499803	PREDICTED: similar to chromosome condensation protein G	NCBI
109499823	PREDICTED: similar to HESB like domain containing 1	NCBI
109499943	RCG36147	NCBI
109500046	PREDICTED: similar to ATP binding cassette, sub-family A, member 13	NCBI
109500708	PREDICTED: hypothetical protein	NCBI
109501003	PREDICTED: similar to ATP binding cassette, sub-family A, member 13	NCBI
109501861	PREDICTED: similar to piwi like homolog 2	NCBI
109501906	PREDICTED: similar to F11C1.5a	NCBI
109503058	PREDICTED: similar to Choline O-acetyltransferase	NCBI
109504737	Isoleucine-tRNA synthetase	NCBI
109505708	PREDICTED: similar to Placental thrombin inhibitor	NCBI
109506053	RCG31815	NCBI
109506410	Myosin VIIb, isoform CRA_b	NCBI
109506423	PREDICTED: similar to Band 4.1-like protein 4A	NCBI
109506923	Mib1 protein	NCBI
109509191	FYVE, RhoGEF and PH domain containing 2	NCBI
109509745	Valyl-tRNA synthetase	NCBI
109509796	RCG60796, isoform CRA_b	NCBI
109510032	RCG61001	NCBI
109510160	RCG22032	NCBI
109510391	Kelch-like 13	NCBI
109512416	RCG23167, isoform CRA_a	NCBI
109512494	DOCK180-related Cdc42 guanine nucleotide exchange factor	NCBI
109513135	PREDICTED: similar to UBX domain containing 1	NCBI
110347404	Zinc finger CCCH-type containing 12B	NCBI
110625641	Ferritin light chain 2	NCBI
112293273	Minichromosome maintenance deficient 5, cell division cycle 46	NCBI
114145740	Ribosomal protein L14	NCBI
116242519	Isocitrate dehydrogenase [NADP], mitochondrial precursor	NCBI
116283894	Sucla2 protein	NCBI
117647249	Laminin, alpha 2	NCBI
119120797	Zinc finger protein 101	NCBI
122889372	Myosin XV	NCBI
123227982	Novel protein	NCBI
123231745	Vacuolar protein sorting 16	NCBI
124486847	Mitogen activated protein kinase kinase kinase 10	NCBI
124486879	CLASP1	NCBI
124487067	NLR family, pyrin domain containing 6	NCBI
124487265	Hypothetical protein LOC665775	NCBI
124487433	Ankyrin repeat domain 26	NCBI
124487465	A disintegrin-like and metallopeptidase with thrombospondin type 1 motif, 14	NCBI
125628627	Ryanodine receptor 3	NCBI
126157499	Myosin, light polypeptide kinase	NCBI
133904142	Telomeric repeat binding factor 2 isoform 1	NCBI
134031950	GTP binding protein 5	NCBI
134031972	Glucocorticoid induced transcript 1 isoform 1	NCBI
148667775	FAST kinase domains 2, isoform CRA_b	NCBI
148668498	MCG116161, isoform CRA_b	NCBI
148669642	MCG144520	NCBI
148670001	Guanine nucleotide binding protein, alpha inhibiting 3, isoform CRA_a	NCBI
148670626	MCG144006	NCBI
148672090	Keratin Kb40	NCBI
148672975	Fyn proto-oncogene, isoform CRA_b	NCBI
148673233	Phosphoprotein associated with glycosphingolipid microdomains 1, isoform CRA_b	NCBI
148673740	MCG4375, isoform CRA_a	NCBI
148677001	Programmed cell death 6 interacting protein, isoform CRA_a	NCBI
148677483	SET binding protein 1, isoform CRA_b	NCBI
148678879	Heme oxygenase 1	NCBI
148680322	Ankyrin 2, brain, isoform CRA_b	NCBI
148680855	SET and MYND domain containing 4, isoform CRA_b	NCBI
148680990	Plexin A2, isoform CRA_a	NCBI
148682756	MCG1036344	NCBI
148683864	Tripartite motif protein 37	NCBI
148684443	Ribosomal protein S3, isoform CRA_e	NCBI
148685177	RIKEN cDNA 2610207I05, isoform CRA_b	NCBI
148685645	Syntaxin 4A, isoform CRA_a	NCBI
148686207	Lymphocyte specific 1, isoform CRA_d	NCBI
148687138	Zinc finger protein 469, isoform CRA_a	NCBI
148688215	MCG19133, isoform CRA_a	NCBI
148689323	Bassoon	NCBI
148690212	MCG50387	NCBI
148690910	Bcl2-associated X protein, isoform CRA_a	NCBI
148691063	Cyclin fold protein 1	NCBI
148691855	MCG13426	NCBI
148692551	Methionine-tRNA synthetase, isoform CRA_b	NCBI
148693148	MCG67939, isoform CRA_b	NCBI
148693472	Solute carrier family 37, member 2, isoform CRA_a	NCBI
148693644	MCG10725, isoform CRA_b	NCBI
148694291	MCG16398	NCBI
148695555	MCG13498, isoform CRA_c	NCBI
148696098	Transformation related protein 53 binding protein 1, isoform CRA_b	NCBI
148697008	MCG10367, isoform CRA_c	NCBI
148697023	MCG1035397	NCBI
148697602	MCG22088	NCBI
148697887	Deoxyribonuclease 1-like 1, isoform CRA_b	NCBI
148697937	B-cell receptor-associated protein 31, isoform CRA_a	NCBI
148698452	CAP, adenylate cyclase-associated protein 1, isoform CRA_b	NCBI
148698872	MCG121553, isoform CRA_a	NCBI
148699122	CDK5 regulatory subunit associated protein 2	NCBI
148699143	MCG50909	NCBI
148701084	Protein phosphatase 1, catalytic subunit, alpha isoform, isoform CRA_b	NCBI
148702992	MCG16973, isoform CRA_d	NCBI
148703063	NADH dehydrogenase 1 beta subcomplex, 5, isoform CRA_a	NCBI
148703293	RIKEN cDNA 8030451K01, isoform CRA_b	NCBI
148703465	Testis expressed gene 15	NCBI
148704781	Proteasome subunit, alpha type 6, isoform CRA_b	NCBI
148705008	MCG19129	NCBI
148705613	MCG141317	NCBI
148705785	Replication factor C 1, isoform CRA_a	NCBI
148705830	Transmembrane protein 33, isoform CRA_a	NCBI
148706380	DEAD/H, isoform CRA_a	NCBI
148706863	MCG122489, isoform CRA_a	NCBI
148706882	Myeloid cell leukemia sequence 1	NCBI
148707594	Protein tyrosine phosphatase, receptor type, C, isoform CRA_a	NCBI
148707632	MCG9152, isoform CRA_b	NCBI
148707755	RIKEN cDNA 5430435G22, isoform CRA_a	NCBI
148708011	High density lipoprotein binding protein, isoform CRA_h	NCBI
148708759	MCG115771	NCBI
148709111	PHD finger protein 2	NCBI
149018217	RCG25732, isoform CRA_d	NCBI
149019031	WD repeat domain 11 protein	NCBI
149022919	Similar to formin, isoform CRA_a	NCBI
149023090	Microtubule-associated protein 1 A, isoform CRA_c	NCBI
149023878	RCG31475, isoform CRA_a	NCBI
149023883	Microtubule-actin crosslinking factor 1	NCBI
149025180	Dihydrolipoamide S-succinyltransferase, isoform CRA_b	NCBI
149029677	RCG42490, isoform CRA_b	NCBI
149030510	RCG51962, isoform CRA_a	NCBI
149030534	Notch gene homolog 2, isoform CRA_a	NCBI
149030731	Proteasome subunit, beta type 4	NCBI
149031226	RCG41923	NCBI
149034570	NADH dehydrogenase Fe-S protein 7, isoform CRA_c	NCBI
149036258	RCG35617	NCBI
149039207	Procollagen, type V, alpha 1	NCBI
149041128	Cystatin 10	NCBI
149042791	RCG32280, isoform CRA_a	NCBI
149044307	RCG42851	NCBI
149044563	Cache domain containing 1	NCBI
149047823	Nebulin	NCBI
149049017	Similar to KIAA0528 protein	NCBI
149049018	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	NCBI
149049573	ATPase, H+ transporting, V1 subunit E isoform 1, isoform CRA_a	NCBI
149053024	Vesicle-associated membrane protein 2, isoform CRA_b	NCBI
149053328	RCG32926, isoform CRA_a	NCBI
149055818	RCG53940, isoform CRA_a	NCBI
149057108	Aldehyde dehydrogenase family 1, subfamily A3, isoform CRA_a	NCBI
149057918	Similar to RNA binding protein gene with multiple splicing, isoform CRA_h	NCBI
149058354	RCG46474	NCBI
149060116	Similar to hypothetical protein FLJ30058	NCBI
149063257	Similar to 2900002H16Rik protein, isoform CRA_a	NCBI
149066842	Similar to Helicase	NCBI
149234139	PREDICTED: dedicator of cytokinesis 10 isoform 2	NCBI
149249378	PREDICTED: similar to CG3047-PA	NCBI
149249474	PREDICTED: similar to fibrous sheath-interacting protein 2	NCBI
149249975	PREDICTED: START domain containing 9	NCBI
149250085	Novel protein	NCBI
149252935	Ybx1 protein	NCBI
149254379	PREDICTED: dynein, axonemal, heavy chain 10	NCBI
149257623	Glyceraldehyde-3-phosphate dehydrogenase	NCBI
149257662	PREDICTED: SET-binding factor 2	NCBI
149257964	PREDICTED: hypothetical protein	NCBI
149258450	ATPase, class VI, type 11A	NCBI
149259203	Bromodomain containing 7	NCBI
149259510	PREDICTED: similar to mucin 16	NCBI
149259822	PREDICTED: similar to Chromosome 6 open reading frame 117	NCBI
149260260	PREDICTED: similar to protein phosphatase 2, regulatory subunit B'', alpha	NCBI
149260267	PREDICTED: hypothetical protein	NCBI
149261084	PREDICTED: TBP-interacting protein isoform 1	NCBI
149261368	PREDICTED: hypothetical protein	NCBI
149263538	PREDICTED: similar to KIAA2019 protein	NCBI
149264576	PREDICTED: hypothetical protein	NCBI
149264610	MCG21631	NCBI
149266512	Triple functional domain	NCBI
149266757	PREDICTED: myeloid/lymphoid or mixed-lineage leukemia 2	NCBI
149267423	PREDICTED: similar to hCG1811516	NCBI
149268231	PREDICTED: similar to synaptojanin	NCBI
149268419	Tcp-10	NCBI
149270506	PREDICTED: hypothetical protein LOC70806	NCBI
149275047	PREDICTED: similar to Ribosomal protein L17 isoform 1	NCBI
NA	Guanine nucleotide-binding protein	Unknown
NA	Heat shock 70 kDa	Unknown
NA	Chaperonin	Unknown
27806343	ATP-binding cassette, sub-family A, member 4, bovine	NCBI
3309626	Cyclic nucleotide-gated channel beta 1, bovine	NCBI
61816544	Na+/K+-ATPase alpha 3 subunit, bovine	NCBI
28603810	ATPase, H+ transporting, lysosomal 56/58 kDa, V1 subunit B, isoform 2, bovine	NCBI
33354077	L1 cell adhesion molecule	NCBI
21361344	4F2, heavy chain	NCBI
15277577	Voltage-dependent anion channel 2	NCBI
6090615	Dihydropyridine receptor Ôò¼ÔûÆ 2 subunit	NCBI
5453916	Progesterone membrane binding protein	NCBI
4504085	Glycerol-3-phosphate dehydrogenase 2	NCBI
2144362	Cytochrome-c oxidase	NCBI
114776	beta-2-microglobulin precursor	NCBI
IPI00084665.1	Hypothetical protein, XP_105538	International Protein Index (IPI)
IPI00047765.3	Tubulin, alpha, similar to	International Protein Index (IPI)
Unknown	Hypothetical protein, XP_068792	Unknown
IPI00048790.1	Hypothetical protein, XP_068476	International Protein Index (IPI)
Unknown	Translational inhibitor protein, 14.5 kDa	Unknown
Unknown	Hypothetical protein, RIKEN 2810048G17	Unknown
IPI00053258.2	Hypothetical protein, XP_063776	International Protein Index (IPI)
Unknown	Hypothetical protein, 611 AA	Unknown
IPI00089564.1	Hypothetical protein, XP_102003	International Protein Index (IPI)
IPI00091127.1	Thyroid receptor-interacting protein 11	International Protein Index (IPI)
IPI00160461.1	SOX-2, similar to	International Protein Index (IPI)
Unknown	Hypothetical protein, XP_103863	Unknown
IPI00055277.1	Hypothetical  16.0 kDa protein	International Protein Index (IPI)
IPI00076171.1	Hypothetical protein, XP_106876	International Protein Index (IPI)
IPI00093960.1	Hypothetical protein, XP_092397	International Protein Index (IPI)
IPI00104087.3	Serine/Threonine kinase 35	International Protein Index (IPI)
IPI00140336.2	Hypothetical  33.0 kDa protein	International Protein Index (IPI)
IPI00158260.1	Kilon, similar to	International Protein Index (IPI)
IPI00079859.1	Hypothetical protein, XP_108982	International Protein Index (IPI)
IPI00083002.1	Hypothetical protein, XP_093088	International Protein Index (IPI)
IPI00099322.1	RasGRP - Exchange factor	International Protein Index (IPI)
IPI00150862.1	Hypothetical protein, XP_166301	International Protein Index (IPI)
Unknown	Absent in melanoma 1, similar to	Unknown
Unknown	Cytochrome oxidase deficient 1	Unknown
Unknown	Hypothetical protein, 105 aa	Unknown
Unknown	Hypothetical protein, 209 aa	Unknown
Unknown	Hypothetical protein, 269 aa	Unknown
Unknown	Hypothetical protein, C20 ORF116	Unknown
Unknown	Hypothetical protein, DKFZp564N1362.1	Unknown
Unknown	Hypothetical protein, FLJ10525	Unknown
Unknown	Hypothetical protein, MGC:2495	Unknown
Unknown	Hypothetical protein, XP_006220	Unknown
Unknown	Hypothetical protein, XP_006257	Unknown
Unknown	Hypothetical protein, XP_007022	Unknown
Unknown	Hypothetical protein, XP_008761	Unknown
Unknown	Hypothetical protein, XP_008777	Unknown
Unknown	Hypothetical protein, XP_011450	Unknown
Unknown	Hypothetical protein, XP_029519	Unknown
Unknown	Hypothetical protein, XP_030260	Unknown
Unknown	Hypothetical protein, XP_030448	Unknown
Unknown	Hypothetical protein, XP_031578	Unknown
Unknown	Hypothetical protein, XP_033687	Unknown
Unknown	Hypothetical protein, XP_036771	Unknown
Unknown	Hypothetical protein, XP_037339	Unknown
Unknown	Hypothetical protein, XP_040790	Unknown
Unknown	Hypothetical protein, XP_041613	Unknown
Unknown	Hypothetical protein, XP_042768	Unknown
Unknown	Hypothetical protein, XP_043091	Unknown
Unknown	Hypothetical protein, XP_043263	Unknown
Unknown	Hypothetical protein, XP_047021	Unknown
Unknown	Hypothetical protein, XP_049144	Unknown
Unknown	Hypothetical protein, XP_050453	Unknown
Unknown	Hypothetical protein, XP_051527	Unknown
Unknown	Hypothetical protein, XP_058745	Unknown
Unknown	Hypothetical protein, XP_087565	Unknown
Unknown	Hypothetical protein, XP_104258	Unknown
Unknown	NADH dehydrogenase Fe-S protein 3	Unknown
Unknown	RNA-binding protein	Unknown
Unknown	Hypothetical protein, XP_092705	Unknown
Unknown	dsRNA adenosine deaminase	Unknown
Unknown	Hypothetical protein, XP_116712	Unknown
Unknown	Hypothetical protein, XP_173200	Unknown
Unknown	Hypothetical protein, XP_060403	Unknown
119621995	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa, isoform CRA_a	NCBInr
89063265	PREDICTED: similar to MHC class I antigen	NCBInr
119620329	RAB1A, member RAS oncogene family, isoform CRA_f	NCBInr
913156	Calreticulin=calcium binding protein	NCBInr
262391	Rig homolog	NCBInr
114668424	PREDICTED: similar to surface antigen isoform 5	NCBInr
113421727	PREDICTED: similar to peptidylprolyl isomerase A-like	NCBInr
60219231	Hypothetical protein	NCBInr
238427	Porin 31HM	NCBInr
18999411	Similar to AFG3 ATPase family gene 3-like 2 (yeast)	NCBInr
119625804	Moesin, isoform CRA_b	NCBInr
20071719	PIGK protein	NCBInr
6005854	Prohibitin 2	NCBInr
5453916	Progesterone receptor membrane component 2	NCBInr
94429050	SEC22 vesicle trafficking protein homolog B	NCBInr
62089230	ADP,ATP carrier protein, liver isoform T2 variant	NCBInr
20067392	Thioredoxin related protein	NCBInr
6723522	Human leucocyte antigen A	NCBInr
45753002	MHC class I antigen	NCBInr
71664	Calmodulin - salmon	NCBInr
4262000	14-3-3 protein/cytosolic phospholipase A2	NCBInr
8923733	Solute carrier family 2 (facilitated glucose transporter), member 6	NCBInr
30520310	Metadherin	NCBInr
51476877	Hypothetical protein	NCBInr
62087172	TEK tyrosine kinase variant	NCBInr
119598179	Ribosomal protein L4, isoform CRA_a	NCBInr
15559750	LOC494150 protein	NCBInr
14042212	Unnamed protein product	NCBInr
9802306	DNA-binding protein TAXREB107	NCBInr
3327054	KIAA0620 protein	NCBInr
119580759	hCG1641472	NCBInr
10437873	Unnamed protein product	NCBInr
169179690	PREDICTED	NCBInr
50284495	MHC class I antigen	NCBInr
62089422	Membrane alanine aminopeptidase precursor variant	NCBInr
119582504	Hypothetical protein LOC340061, isoform CRA_c	NCBInr
119620171	Dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive), isoform CRA_c	NCBInr
12804225	Unknown (protein for IMAGE	NCBInr
88943644	PREDICTED	NCBInr
107565	Protein-tyrosine kinase (EC 2.7.1.112), receptor type tie precursor	NCBInr
114560731	PREDICTED	NCBInr
16550641	Unnamed protein product	NCBInr
119601380	Actinin, alpha 1, isoform CRA_d	NCBInr
119617186	Integrin, alpha 5 (fibronectin receptor, alpha polypeptide), isoform CRA_a	NCBInr
110347451	Platelet/endothelial cell adhesion molecule (CD31 antigen)	NCBInr
4191319	33 kDa Vamp-associated protein; VAP-33	NCBInr
119594426	hCG2020155, isoform CRA_a	NCBInr
74730611	Probable glutathione peroxidase 8	NCBInr
13376091	Multimerin 2	NCBInr
27436951	Lamin B2	NCBInr
62896547	B-cell receptor-associated protein 31 variant	NCBInr
119615366	Endothelin converting enzyme 1, isoform CRA_d	NCBInr
2661041	Similar to synaptic membrane glycoprotein	NCBInr
4200241	Hypothetical protein	NCBInr
119603829	Laminin, beta 1, isoform CRA_a	NCBInr
254299	Protein disulphide isomerase, PDI {N-terminal}	NCBInr
913148	Calreticulin=calcium binding protein	NCBInr
114679028	PREDICTED	NCBInr
67514351	MHC class I antigen	NCBInr
114636608	PREDICTED	NCBInr
10436857	Unnamed protein product	NCBInr
88982429	PREDICTED	NCBInr
243123	Cytochrome c oxidase subunit VIIa='liver-type' isoform {EC 1.9.3.1}	NCBInr
38079	75 kDa subunit NADH dehydrogenase precursor	NCBInr
56203606	Chromosome 20 open reading frame 30	NCBInr
4827267	NADH-ubiquinone oxidoreductase B22 subunit	NCBInr
14043646	YME1-like 1 (S. cerevisiae)	NCBInr
119597172	Paraoxonase 2, isoform CRA_d	NCBInr
119615400	Heparan sulfate proteoglycan 2 (perlecan), isoform CRA_a	NCBInr
119610321	hCG1749005	NCBInr
187609312	Chain n, Structure Of A Mammalian Ribosomal 60s Subunit Within An 80s Complex	NCBInr
86651582	Eukaryotic translation elongation factor 1 gamma	NCBInr
qi|18093104	Cask-interacting protein 1	NCBI
qi|13928704	Myosin heavy chain 10	NCBI
gi|92791	Synaptotagmin I	NCBI
gi|8394506	Ubiquitin carboxy-terminal hydrolase L1	NCBI
gi|71620	Actin beta	NCBI
gi|6981398	Protein kinase C, beta	NCBI
gi|6978549	Na+/K+ -ATPase beta 1 subunit	NCBI
gi|62665162	ATPase, H+ transporting, V0 subunit D isoform 1	NCBI
gi|62664205	Similar to grp75	NCBI
gi|62647466	Mitochondrial inner membrane protein	NCBI
gi|62641274	Similar to Tu translation elongation factor	NCBI
gi|62638424	Similar to RIKEN cDNA 2900041A09	NCBI
gi|56385	Hsc70-ps1	NCBI
gi|34879632	Spectrin beta chain 1	NCBI
gi|34869154	ATPase, H+ transporting, V1 subunit A, isoform 1	NCBI
gi|34866011	Ubiquinol-cytochrome c reductase binding protein	NCBI
gi|34864793	Similar to mKIAA0417 protein	NCBI
gi|34857415	AP-3 complex beta3B subunit	NCBI
gi|34856405	Similar to Coiled-coil-helixcoiled- coil-helix domain containing 6	NCBI
gi|31542401	Creatine kinase	NCBI
gi|27717677	NADH oxidoreductase	NCBI
gi|27702072	NADH-ubiquinone oxidoreductase 30 kDa subunit	NCBI
gi|226486	Rab1b	NCBI
gi|16758814	Septin 5	NCBI
gi|13928826	ATPase, H+ transporting, lysosomal V0 subunit a isoform 1	NCBI
gi|13591908	AP-2 complex, alpha subunit	NCBI
gi|13591874	Guanine nucleotide-binding protein, beta-1 subunit	NCBI
gi|12621074	Triosephosphate isomerase 1	NCBI
gi|12018296	Septin 7	NCBI
gi|112128	Phosphoglycerate mutase (EC 5.4.2.1) B chain	NCBI
gi|11120682	Calcium/calmodulin dependent protein kinase II beta subunit	NCBI
gi| 55716040	Pyruvate carboxylase	NCBI
gi/5262748	Proline rich synapse associated protein 2	NCBI
gi |34873803	NMDA receptor subunit NR1 (GRIN1)	NCBI
IPI00620643.1	Mitochondrial trifunctional protein, beta subunit	International Protein Index (IPI)
IPI00134378.4	Transmembrane emp24 protein transport domain containing 7	International Protein Index (IPI)
IPI00605883.1	Similar to 60S ribosomal protein L3 (L4)	International Protein Index (IPI)
IPI00606799.1	Similar to Glyceraldehyde-3-phosphate dehydrogenase (GAPDH)	International Protein Index (IPI)
IPI00605468.1	Similar to ribosomal protein L9	International Protein Index (IPI)
IPI00623410.1	Similar to ribosomal protein S7	International Protein Index (IPI)
IPI00626342.1	Similar to Rpl17 protein	International Protein Index (IPI)
